round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.8947368421052632
1,1,0.631578947368421
1,2,0.631578947368421
1,3,0.631578947368421
1,4,0.631578947368421
1,5,0.6842105263157895
2,0,0.9473684210526315
2,1,0.6842105263157895
2,2,0.631578947368421
2,3,0.631578947368421
2,4,0.7368421052631579
2,5,0.6842105263157895
3,0,0.9473684210526315
3,1,0.631578947368421
3,2,0.7368421052631579
3,3,0.6842105263157895
3,4,0.6842105263157895
3,5,0.7368421052631579
4,0,0.9473684210526315
4,1,0.5789473684210527
4,2,0.7368421052631579
4,3,0.5789473684210527
4,4,0.7368421052631579
4,5,0.7368421052631579
5,0,0.8947368421052632
5,1,0.6842105263157895
5,2,0.7894736842105263
5,3,0.7368421052631579
5,4,0.7894736842105263
5,5,0.7894736842105263
6,0,0.9473684210526315
6,1,0.6842105263157895
6,2,0.7368421052631579
6,3,0.6842105263157895
6,4,0.7368421052631579
6,5,0.7368421052631579
7,0,0.9473684210526315
7,1,0.6842105263157895
7,2,0.7894736842105263
7,3,0.6842105263157895
7,4,0.7368421052631579
7,5,0.7368421052631579
8,0,0.9473684210526315
8,1,0.7368421052631579
8,2,0.7894736842105263
8,3,0.7368421052631579
8,4,0.8421052631578947
8,5,0.7894736842105263
9,0,0.9473684210526315
9,1,0.6842105263157895
9,2,0.7368421052631579
9,3,0.7368421052631579
9,4,0.8421052631578947
9,5,0.7894736842105263
10,0,0.9473684210526315
10,1,0.6842105263157895
10,2,0.7894736842105263
10,3,0.7368421052631579
10,4,0.8421052631578947
10,5,0.7368421052631579
11,0,0.9473684210526315
11,1,0.7368421052631579
11,2,0.7894736842105263
11,3,0.7368421052631579
11,4,0.8421052631578947
11,5,0.7894736842105263
12,0,0.9473684210526315
12,1,0.6842105263157895
12,2,0.7894736842105263
12,3,0.7368421052631579
12,4,0.8421052631578947
12,5,0.7894736842105263
13,0,0.9473684210526315
13,1,0.7368421052631579
13,2,0.7894736842105263
13,3,0.7368421052631579
13,4,0.8421052631578947
13,5,0.7894736842105263
14,0,0.9473684210526315
14,1,0.6842105263157895
14,2,0.7894736842105263
14,3,0.7368421052631579
14,4,0.7894736842105263
